iter	Passed	Remaining
814	1731	393
815	1732	390
816	1735	388
817	1737	386
818	1738	384
819	1739	381
820	1740	379
821	1741	377
822	1743	374
823	1744	372
824	1745	370
825	1747	368
826	1748	365
827	1751	363
828	1753	361
829	1754	359
830	1755	356
831	1756	354
832	1757	352
833	1758	350
834	1760	347
835	1761	345
836	1762	343
837	1763	340
838	1766	338
839	1767	336
840	1769	334
841	1770	332
842	1771	329
843	1772	327
844	1773	325
845	1775	323
846	1776	320
847	1777	318
848	1778	316
849	1781	314
850	1782	312
851	1783	309
852	1784	307
853	1785	305
854	1787	303
855	1788	300
856	1789	298
857	1790	296
858	1791	294
859	1793	291
860	1795	289
861	1796	287
862	1798	285
863	1799	283
864	1800	281
865	1801	278
866	1802	276
867	1804	274
868	1805	272
869	1806	269
870	1807	267
871	1809	265
872	1811	263
873	1812	261
874	1813	259
875	1814	256
876	1816	254
877	1817	252
878	1818	250
879	1819	248
880	1820	245
881	1822	243
882	1823	241
883	1826	239
884	1827	237
885	1829	235
886	1830	233
887	1831	230
888	1832	228
889	1833	226
890	1835	224
891	1836	222
892	1837	220
893	1838	218
894	1841	215
895	1842	213
896	1843	211
897	1844	209
898	1845	207
899	1847	205
900	1851	203
901	1852	201
902	1854	199
903	1859	197
904	1860	195
905	1862	193
906	1863	191
907	1865	188
908	1868	187
909	1871	185
910	1872	182
911	1874	180
912	1875	178
913	1876	176
914	1877	174
915	1879	172
916	1880	170
917	1882	168
918	1883	166
919	1884	163
920	1886	161
921	1887	159
922	1888	157
923	1889	155
924	1890	153
925	1891	151
926	1893	149
927	1894	146
928	1895	144
929	1898	142
930	1899	140
931	1900	138
932	1901	136
933	1903	134
934	1904	132
935	1905	130
936	1906	128
937	1907	126
938	1908	124
939	1910	121
940	1911	119
941	1914	117
942	1916	115
943	1918	113
944	1925	112
945	1964	112
946	1980	110
947	1990	109
948	1995	107
949	1999	105
950	2006	103
951	2022	101
952	2024	99
953	2026	97
954	2028	95
955	2030	93
956	2032	91
957	2036	89
958	2039	87
959	2040	85
960	2042	82
961	2044	80
962	2046	78
963	2047	76
964	2051	74
965	2053	72
966	2055	70
967	2056	67
968	2058	65
969	2060	63
970	2062	61
971	2065	59
972	2067	57
973	2069	55
974	2071	53
975	2072	50
976	2075	48
977	2076	46
978	2078	44
979	2080	42
980	2083	40
981	2084	38
982	2085	36
983	2086	33
984	2088	31
985	2089	29
986	2090	27
987	2091	25
988	2093	23
989	2095	21
990	2097	19
991	2099	16
992	2101	14
993	2102	12
994	2103	10
995	2105	8
996	2106	6
997	2107	4
998	2108	2
999	2112	0
